Name,Category,Price,Stock,Supplier
Shock Absorber,Suspension & Steering,289.73,1,Brembo
Brake Pad Set,Braking System,114.35,8,Denso
Oil Filter,Engine & Maintenance,306.29,34,Denso
Fuel Filter,Engine & Maintenance,267.97,2,Bosch
Air Filter,Engine & Maintenance,47.15,14,Continental
Spark Plug,Engine & Maintenance,273.10,35,NGK
Timing Belt,Engine & Maintenance,323.77,44,Continental
Alternator,Electrical & Ignition,191.98,28,Aisin
Starter Motor,Electrical & Ignition,129.16,0,ACDelco
Water Pump,Cooling & Heating,315.82,21,Brembo
Radiator,Cooling & Heating,74.61,48,Monroe
Thermostat,Cooling & Heating,50.93,24,Denso
Control Arm,Suspension & Steering,165.07,22,Aisin
Ball Joint,Suspension & Steering,123.08,2,Valeo
Tie Rod End,Suspension & Steering,243.85,24,Denso
Wheel Bearing,Suspension & Steering,250.88,40,Aisin
Brake Rotor,Braking System,399.08,23,Aisin
Brake Caliper,Braking System,90.97,4,Bosch
Clutch Kit,Transmission & Drivetrain,299.43,49,Brembo
Flywheel,Transmission & Drivetrain,443.43,14,Denso
Drive Belt,Engine & Maintenance,174.47,29,Monroe
Serpentine Belt,Engine & Maintenance,77.80,22,NGK
Ignition Coil,Electrical & Ignition,303.39,44,Denso
Fuel Pump,Engine & Maintenance,276.26,10,Continental
Oxygen Sensor,Electrical & Ignition,329.60,10,Valeo
MAP Sensor,Electrical & Ignition,174.17,40,Continental
Throttle Body,Engine & Maintenance,103.12,20,Bosch
EGR Valve,Engine & Maintenance,107.31,2,Monroe
Mass Air Flow Sensor,Electrical & Ignition,183.82,4,NGK
Crankshaft Sensor,Engine & Maintenance,411.39,36,Monroe
Camshaft Sensor,Engine & Maintenance,100.01,31,Meyle
ABS Sensor,Electrical & Ignition,398.74,41,Valeo
Steering Rack,Suspension & Steering,69.01,8,NGK
Power Steering Pump,Suspension & Steering,336.65,34,Brembo
CV Joint,Suspension & Steering,337.55,27,Aisin
Axle Shaft,Suspension & Steering,183.03,14,ACDelco
Strut Mount,Suspension & Steering,231.98,5,Bosch
Sway Bar Link,Suspension & Steering,388.26,9,ACDelco
Engine Mount,Engine & Maintenance,357.58,27,Aisin
Transmission Mount,Transmission & Drivetrain,33.74,24,Aisin
Piston Ring Set,Engine & Maintenance,448.28,33,Brembo
Connecting Rod,Engine & Maintenance,437.14,0,Denso
Crankshaft,Engine & Maintenance,308.52,34,Brembo
Camshaft,Engine & Maintenance,347.14,21,Denso
Cylinder Head Gasket,Engine & Maintenance,135.96,10,Valeo
